label,task_idx,p00,p01,p10,p11,Delta_mean,Delta_peak,Delta_stability,Theta_mean,Theta_peak,Theta_stability,Alpha_mean,Alpha_peak,Alpha_stability,Beta_mean,Beta_peak,Beta_stability,Gamma_mean,Gamma_peak,Gamma_stability
P2,4,0.34,0.24,0.18,0.24,263.48110629922587,1598.8673512979005,-355.63268245117104,25.99046031848132,108.26639534163182,-18.637783907997807,7.554286753093565,14.422447419047682,-4.107244677448284,10.841163164177448,20.920462166341473,-5.328808145394724,1.5956556825992319,4.4577222624373345,-0.9653916056700923
P2,5,0.37,0.16,0.27,0.2,589.8685850450717,2545.0725360081974,-744.0578992006629,55.178016354548014,153.3714473728125,-44.882099956478626,7.350734203705629,18.8921535321009,-5.687939562676262,13.04880855316231,26.23232264149096,-5.65307962362294,3.9030268830279664,10.864183142888066,-2.317618014448005
P2,6,0.27,0.13,0.32,0.28,588.802829183936,2824.4424153154464,-827.5943555011237,25.730876780726316,112.54566928272159,-33.1203303882671,5.444250035565545,12.014466709695789,-3.4135726843700853,8.203920405646658,19.11472906079354,-4.526545856796123,2.8526814645472127,5.473554389771309,-1.6086187082971788
P2,7,0.38,0.16,0.26,0.2,492.998013033999,2476.336017265545,-779.5205968617413,31.522920426311508,133.31870907923718,-36.47239376766894,3.9801109351385326,13.037847362333505,-3.3773621927977158,15.543972593652576,27.469430561934598,-6.281230368596349,4.065089799694014,17.091800321590902,-4.2385513278167
P2,8,0.36,0.13,0.28,0.23,2350.268485382453,7143.484089185313,-1864.2192696956133,53.23626391333986,181.60531514693588,-46.378343377189864,9.707435543527483,23.23508802547916,-5.572546963371287,14.416249564021165,24.369964065169047,-4.339557658985322,4.04250866525234,8.612737159986336,-2.2904879790608117
P2,9,0.38,0.14,0.19,0.29,334.8365998752057,1455.9600730762288,-407.23735008945954,20.600075525865048,89.8298132930958,-24.275973706896977,6.674284656721927,14.045073165519643,-3.773256011919307,9.475735704595305,16.456495785237585,-2.835118307164082,2.134994927979474,4.419354903169291,-1.1441722307020556
P2,10,0.33,0.29,0.24,0.14,333.25372423170296,1375.8275032060255,-382.505159855849,28.29534875400617,126.90207701768597,-34.59778515941133,4.525625336733969,11.290628316148162,-2.7280602515964434,11.042083956546119,34.515789103293365,-8.174071903061263,3.0688459226420504,6.280826394104295,-1.2909250821009683
P2,11,0.38,0.16,0.18,0.28,470.30285139938877,1565.2183788127372,-433.79668422772875,8.494625531707355,21.258063564088964,-4.98986815215904,57.120567309203295,215.44585797287084,-61.44632317436067,18.240667998141017,65.37109825512808,-16.44242591497204,1.9850618105498627,3.799898029224956,-0.6981870254141276
P2,12,0.27,0.24,0.24,0.25,48.16686460538615,236.46443987016784,-46.39793929502197,10.991772458038774,22.821908338299536,-5.891660462801509,70.01380332590553,194.73631649921737,-51.73060366501929,17.42438542162438,51.6118085043575,-10.297776497330663,2.0237923873813273,4.4447322701030085,-1.2441845916626035
P2,13,0.26,0.29,0.17,0.28,387.5500384993332,1424.7419449688223,-437.34589550587805,11.432695782224197,35.36873953846235,-9.689082556236553,115.79310066535369,244.2356892948951,-66.69223140480456,13.221563795922478,20.53501019291945,-3.866606226205367,2.56054120088331,5.090315832524465,-1.2520301562981937
