label,peak_task_idx,rel_t_sec,h1_total_persistence,lambda2,aspl,h1_zero,best_pair,z_h1_total_persistence,z_lambda2,z_aspl
P10,3,0.0,0.32857973293739773,2.608203869178482,2.3747697775773884,0,Delta_stability x p00,1.0621103453790095,-0.7729216104410681,1.1043048917699876
P10,3,0.125,0.09875024983703296,2.0569355314747932,1.8144019793797814,0,Delta_stability x p00,-0.4746975708249115,-1.0383127885083285,-0.2742896886555237
P10,3,0.25,0.08704393890714712,1.9982057464517817,1.6577273096995861,0,Delta_stability x p00,-0.5529745223452557,-1.0665864363289508,-0.6597344826029943
P10,3,0.375,3.299574971471486e-06,2.2272491970803485,1.5837190623458992,0,Delta_stability x p00,-1.1349918586446368,-0.9563205149373639,-0.8418066306399605
P10,3,0.5,0.0,10.66445014192406,1.0814265282750022,1,Delta_stability x p00,-1.1350139220146964,3.105510258202089,-2.0775267549682828
P10,3,0.625,0.0,8.788520657739063,1.1644253962964752,1,Delta_stability x p00,-1.1350139220146964,2.202401732410851,-1.8733362393749768
P10,3,0.75,0.00023808238976474883,2.775183172547197,1.771652677462978,0,Delta_stability x p00,-1.1334219291321321,-0.6925345629671148,-0.37945982178779347
P10,3,0.875,0.2576743666609954,3.7971888648685415,2.075096955723859,0,Delta_stability x p00,0.5879852386914217,-0.20052137061432523,0.36706172855308383
P10,3,1.0,0.4039072756153156,3.0001973758021343,2.1655789572315642,0,Delta_stability x p00,1.5658053558449192,-0.5842083987392829,0.5896619516668824
P10,3,1.125,0.024939744631727656,4.946002099573354,1.649490814688187,0,Delta_stability x p00,-0.9682485598813885,0.3525394110144002,-0.6799975801987852
P10,3,1.25,0.0,7.678617272842562,1.245170681322841,1,Delta_stability x p00,-1.1350139220146964,1.6680729006743726,-1.674689899077944
P10,3,1.375,0.0,8.256078177521434,1.217939690358596,1,Delta_stability x p00,-1.1350139220146964,1.9460736841383537,-1.7416825005151986
P10,3,1.5,0.11793457610244085,3.508559095121747,1.5487258825591252,0,Delta_stability x p00,-0.34641714277015745,-0.33947329181020014,-0.9278954604425795
P10,3,1.625,0.0,8.21995481458528,1.3106895976003488,1,Delta_stability x p00,-1.1350139220146964,1.928683202607506,-1.513502865872168
P10,3,1.75,0.14169489310463868,3.9906374533939823,1.7071876066402059,0,Delta_stability x p00,-0.18753829586196333,-0.10739150029006422,-0.5380542263000974
P10,3,1.875,0.2979246326618509,4.830951609747296,1.9221421560053777,0,Delta_stability x p00,0.8571279378133432,0.2971518929150661,-0.009231589193218226
P10,3,2.0,0.14983542489539348,3.3327989883581672,2.2325669293675063,0,Delta_stability x p00,-0.13310475004626635,-0.4240875868838382,0.7544630976951542
P11,3,-2.0,0.08365411338741591,5.065161976870937,1.781298816452794,0,Alpha_mean x p00,-0.5183824012036513,0.35999628746915374,-0.42296953200320137
P11,3,-1.875,0.1282518383438639,3.2510491876114855,1.7947432820064155,0,Alpha_mean x p00,-0.317925444321325,-0.6279634906754334,-0.3840969089250671
