label,task_idx,n_valid_channels,h1_total_persistence,h1_max_persistence,h1_count,h1_zero,lambda2,aspl
P12,14,14,0.15699529228328002,0.11597565208890248,2,0,4.078075653724872,2.151425754764636
P12,15,14,0.20823651587632164,0.09104738537204715,4,0,2.000364964764687,3.1402091077313385
P12,16,14,0.19118420575127038,0.17233164580906324,3,0,1.9667374472332562,3.0357476425612986
P12,17,14,0.48074823535471223,0.14987113770770755,5,0,1.8348534978411672,3.399740938437102
P12,18,14,0.13853148936177506,0.08155487731634903,2,0,2.008196860857505,2.8879251090995557
P12,19,14,0.3560907164486784,0.18704244310135199,2,0,2.2240988373955015,2.46212538254222
P12,20,14,0.23765920491421588,0.22569242440810855,2,0,2.4760340340697553,2.2347336367374857
P12,21,14,0.16650177874249905,0.1216203689583294,2,0,1.6712229472509916,2.5637348727220983
P12,22,14,0.37849205876835956,0.11629752019964001,7,0,2.2945297909440443,3.221750224894889
P12,23,14,0.1582031774940441,0.14188386329069302,3,0,2.6663635789975806,2.5009038841707696
P12,24,14,0.09572426521829092,0.0834796296051713,2,0,2.4121583276326666,2.4142726392694334
P12,25,14,0.2440971241412987,0.12308779763629407,3,0,2.004090874278501,2.6585653054333345
P12,26,14,0.0015556609865956528,0.0015556609865956528,1,0,3.804395803211512,1.768372133052037
P12,27,14,0.37066178091911495,0.1466182602558157,4,0,2.076504809153726,2.829405027000459
P12,28,14,0.6359772565027569,0.295257338583625,4,0,2.735262821173199,2.761331047589756
P12,29,14,0.06664072471421723,0.06664072471421723,1,0,2.9092874884738755,2.1619494540424165
P12,30,14,0.014306347886482995,0.014306347886482995,1,0,4.741913065316904,1.7998308736029416
P13,1,14,0.7989208541447009,0.19608716939708182,7,0,2.131213823948063,3.5180585840239473
P13,2,14,0.42386442089603504,0.26209918087694684,3,0,2.315815195383117,2.915252711434551
P13,3,14,0.06242208235494018,0.04009054719368432,3,0,2.3202941513781057,2.681590267489515
P13,4,14,0.021356758747812843,0.021356758747812843,1,0,1.6788811941633677,2.9004638845150503
P13,5,14,0.5928396054877585,0.22754734754581418,5,0,2.599930329323355,2.8399234341695556
P13,6,14,0.3040034758188369,0.14178737131452168,3,0,2.6329764969643796,2.925972254885557
P13,7,14,0.4413792463270738,0.13706484201723168,4,0,2.074305073634718,3.2067029070579838
P13,8,14,0.13398952193771485,0.10382804527647971,3,0,3.256798704380836,2.3512611006290016
P13,9,14,0.04310328308247513,0.04310328308247513,1,0,2.5188633641172684,2.102260769921114
P13,10,14,0.13642604554531534,0.09009663006460411,3,0,3.224565497584624,2.5747558269672477
P13,11,14,0.45068720685693564,0.16423871417868763,5,0,2.543985496132607,2.913298272022555
P13,12,14,0.23298354532835708,0.2016966535434931,2,0,2.348514106599289,3.2087802357164144
P13,13,14,0.051909979381123184,0.051909979381123184,1,0,2.8611884337796303,2.2900639114241192
P13,14,14,0.10470501213027505,0.053303532227426675,3,0,2.0076602601441245,2.71958770424371
P13,15,14,0.05934743173535706,0.05934743173535706,1,0,2.714756042052353,2.3375877494550292
P13,16,14,0.04774984757667822,0.04774984757667822,1,0,2.3000079180967554,2.329301794000981
P13,17,14,0.1291975395361754,0.06236870299597497,4,0,1.8154818893388136,2.934947198893656
P13,18,14,0.15754566708456152,0.0746302233923597,4,0,2.724557178846301,2.7061399834952358
P13,19,14,0.01627395389425479,0.01627395389425479,1,0,2.9929201172390014,2.0388985372144885
P13,20,14,0.05553704923285241,0.05126523007970685,2,0,4.410462552211816,1.9510014136884817
P13,21,14,0.19238774761928312,0.11331503187868575,4,0,1.5899549608054704,2.796373878407008
P13,22,14,0.220675327697738,0.182990737164481,3,0,3.263245432204282,2.581254529955303
P13,23,14,0.0,0.0,0,1,2.5973754637299153,2.2995178038660153
P13,24,14,0.13477847417035316,0.0778054243674573,5,0,3.0826857734809803,2.429557904579397
P13,25,14,0.1810402099407551,0.1810402099407551,1,0,2.3722879493211146,2.1645313626263154
P13,26,14,0.2201474881311828,0.21718059263388634,2,0,3.085679040743763,2.3052592014274222
P13,27,14,0.3278954476641086,0.15589449034762437,4,0,2.6210817167980327,2.8773208024009564
P13,28,14,0.09667470162772684,0.08936969013637719,3,0,2.360855453538467,3.4169346271049514
P13,29,14,0.5497397827233506,0.2904318379078712,4,0,3.491446221670832,2.448038931513642
P13,30,14,0.052205328426269126,0.052205328426269126,1,0,3.592224363310624,1.957634243563764
P14,1,14,0.3597214296405771,0.18186433376782007,4,0,2.7997957187752216,2.7948155077522325
P14,2,14,0.12807282359871996,0.12807282359871996,1,0,1.9026952129772734,2.873555615503887
P14,3,14,0.05469801066209923,0.03207265747266563,2,0,2.4270666153434948,2.595403355718916
P14,4,14,0.2039086196703077,0.16980740227367597,2,0,1.703174183705562,2.5052228892343473
P14,5,14,0.12095107710955966,0.10865358268602576,4,0,2.5810421526991756,2.793337909931031
P14,6,14,0.0,0.0,0,1,10.764354077531774,1.0883593112299796
P14,7,14,0.46811886477495857,0.17896949159299969,4,0,2.671820105096447,2.779861528347774
P14,8,14,0.0,0.0,0,1,1.4698661741503227,2.537668063824265
P14,9,14,0.4377209867910905,0.21003589690227598,3,0,2.005795814989956,3.6067455889071094
P14,10,14,0.24494783530414788,0.07922472924904644,7,0,2.645450393955502,2.876590238145784
P14,11,14,0.2937404938284185,0.2937404938284185,1,0,3.5074053217408228,2.264400525848188
P14,12,14,0.04723705861188554,0.04723705861188554,1,0,2.837750405521865,2.344971351186304
P14,13,14,0.35490167597982547,0.2433248535916659,4,0,1.9882913802592044,2.4732732108918354
P14,14,14,0.1239525012855851,0.07276438480146341,4,0,1.8060602842154871,2.769413212116576
P14,15,14,0.0005478181472575727,0.0004757639669925595,2,0,12.07434987698242,1.0282661367466135
P14,16,14,0.3638464820706909,0.29405875483598287,3,0,1.8886174587778686,2.6473238533733303
P14,17,14,0.32462827917084525,0.17670593400230028,3,0,2.089048401645683,3.2663720288613227
P14,18,14,0.5866328431224735,0.1293482853264437,6,0,2.429201468165954,3.3410071256128786
P14,19,14,0.0,0.0,0,1,3.435687951627186,2.107140928577561
P14,20,14,0.6477817422148693,0.1703118869620157,6,0,2.371843283640132,2.9108598722323316
P14,21,14,0.023435407337081826,0.023435407337081826,1,0,9.329847221941403,1.1759865388732473
P14,22,14,0.1855789734200689,0.08524002032933431,5,0,2.3941782802965226,2.9509028581150094
P14,23,14,0.029059579936146496,0.01600805584179721,2,0,3.4894908300918557,1.703205353012161
P14,24,14,0.0,0.0,0,1,9.012073018256503,1.0949274130776736
P14,25,14,0.22190575173455107,0.10979810371869825,3,0,2.8711448432800823,2.4468447046362694
P14,26,14,0.24130693481995402,0.23905062420477285,2,0,2.6344142867544043,2.677507327144439
P14,27,14,0.16375954993070052,0.16375954993070052,1,0,2.4313457566607655,2.747611903011109
P14,28,14,0.0,0.0,0,1,8.93412078804128,1.2274496894511142
P14,29,14,0.0,0.0,0,1,2.711825967278147,2.298684318632465
P14,30,14,0.414521683569978,0.32984418296689844,2,0,1.7839879514575225,3.2859015725337666
P15,1,14,0.005061026380174916,0.005061026380174916,1,0,2.447988474271807,2.2791214028443694
P15,2,14,0.13983409943272795,0.08300237324254889,4,0,1.8640796629278191,2.8981198059523914
P15,3,14,0.015945575095721365,0.015945575095721365,1,0,10.511183864491892,1.1166423859175612
P15,4,14,0.12583325436625548,0.12223883068222474,2,0,2.3430381863728384,2.758495906151074
P15,5,14,0.0,0.0,0,1,13.511228372300625,1.0166887646705627
P15,6,14,0.0,0.0,0,1,5.034523613805298,1.42377461572596
P15,7,14,0.40651980719210423,0.20330067539014263,3,0,3.3622884305642335,2.4835777069143923
P15,8,14,0.5980374262628092,0.18070993863625495,6,0,2.775098954265819,3.0609355702536885
P15,9,14,0.7044048094740195,0.2167508121994698,8,0,2.6504638585565394,3.148572074925427
P15,10,14,0.3197652691292274,0.12682764333666008,4,0,2.3760882199525106,3.195130096228022
P15,11,14,0.35364157572895516,0.18429398089548354,4,0,2.699770640969277,3.0229547881972345
