condition,iteration,metric,median_diff
false_session_matching,79,delta_aspl,-0.02242973196917486
false_session_matching,80,delta_h1_zero,-0.06390977443609022
false_session_matching,80,delta_lambda2,-0.0897378971981373
false_session_matching,80,delta_aspl,0.07067249851111645
false_session_matching,81,delta_h1_zero,-0.03759398496240601
false_session_matching,81,delta_lambda2,-0.10510122321220838
false_session_matching,81,delta_aspl,-0.18220090653029164
false_session_matching,82,delta_h1_zero,-0.10526315789473684
false_session_matching,82,delta_lambda2,-0.22988169693979676
false_session_matching,82,delta_aspl,-0.035277660753191054
false_session_matching,83,delta_h1_zero,0.0
false_session_matching,83,delta_lambda2,0.31973571323241723
false_session_matching,83,delta_aspl,-0.20446388960850004
false_session_matching,84,delta_h1_zero,-0.06766917293233082
false_session_matching,84,delta_lambda2,0.419995248637568
false_session_matching,84,delta_aspl,-0.015407130293574323
false_session_matching,85,delta_h1_zero,0.022556390977443608
false_session_matching,85,delta_lambda2,0.021907798493961295
false_session_matching,85,delta_aspl,0.12564859462265066
false_session_matching,86,delta_h1_zero,-0.05263157894736842
false_session_matching,86,delta_lambda2,0.046989041046345825
false_session_matching,86,delta_aspl,-0.11652466531709393
false_session_matching,87,delta_h1_zero,-0.06766917293233082
false_session_matching,87,delta_lambda2,-0.25379713852946706
false_session_matching,87,delta_aspl,0.04010548874043973
false_session_matching,88,delta_h1_zero,-0.018796992481203006
false_session_matching,88,delta_lambda2,-0.4561132349190675
false_session_matching,88,delta_aspl,-0.0966556226869617
false_session_matching,89,delta_h1_zero,0.07142857142857142
false_session_matching,89,delta_lambda2,-0.4402803905320991
false_session_matching,89,delta_aspl,-0.04407459976221717
false_session_matching,90,delta_h1_zero,0.08270676691729323
false_session_matching,90,delta_lambda2,-0.04302803669051092
false_session_matching,90,delta_aspl,-0.12401036499963458
false_session_matching,91,delta_h1_zero,-0.05263157894736842
false_session_matching,91,delta_lambda2,-0.6279110822121128
false_session_matching,91,delta_aspl,-0.1294598491093737
false_session_matching,92,delta_h1_zero,-0.018796992481203006
false_session_matching,92,delta_lambda2,-0.4025079320514011
false_session_matching,92,delta_aspl,0.08060630200542773
false_session_matching,93,delta_h1_zero,-0.09022556390977443
false_session_matching,93,delta_lambda2,-0.28286546644736443
false_session_matching,93,delta_aspl,0.1905022475993996
false_session_matching,94,delta_h1_zero,-0.05263157894736842
false_session_matching,94,delta_lambda2,0.4530644426594863
false_session_matching,94,delta_aspl,-0.08409083435495379
false_session_matching,95,delta_h1_zero,0.0
false_session_matching,95,delta_lambda2,-1.7580694492213076
false_session_matching,95,delta_aspl,0.09951706028374874
false_session_matching,96,delta_h1_zero,-0.05263157894736842
false_session_matching,96,delta_lambda2,-1.086780974496539
false_session_matching,96,delta_aspl,0.17952193247060455
false_session_matching,97,delta_h1_zero,-0.05263157894736842
false_session_matching,97,delta_lambda2,-0.32264181090784905
false_session_matching,97,delta_aspl,-0.051252225529981654
